Sno,Weight
0,0.0065706936
1,0.012082979
2,-0.009444034
3,-0.0054617156
4,0.015230482
5,-0.0114731295
6,0.0003238545
7,-0.010006129
8,-0.012810048
9,0.004417812
10,0.009175494
11,-0.0036259133
12,0.009309732
13,-0.01546093
14,-0.0043280753
15,-0.019943733
16,0.003886656
17,0.00015110697
18,0.0013256158
19,-0.009098093
20,-0.007844075
21,-0.017235052
22,0.00968186
23,0.001812092
24,-0.002931245
25,-0.010871267
26,-0.011509761
27,-0.008664133
28,-0.017500432
29,0.007674546
30,-0.013943476
31,-0.011821592
32,-0.0065238206
33,0.0072973957
34,-0.00803685
35,0.005779318
36,-0.011831552
37,-0.014892213
38,0.0013629199
39,0.011258177
40,-0.017723622
41,-0.0022615774
42,0.001522543
43,0.012958906
44,-0.0008449265
45,-0.00061578496
46,0.0086434875
47,0.003750752
48,-0.00050639885
49,0.005501507
50,0.0053994833
51,-0.0037500558
52,-0.0013275355
53,0.0014622086
54,0.011478955
55,-0.0013391993
56,0.003352156
57,0.00033604619
58,-0.009785764
59,-0.00032334038
60,-0.0027423939
61,0.005097838
62,0.018202081
63,-0.003963932
64,0.014102532
65,0.009493877
66,0.0014519673
67,0.002879772
68,0.010083454
69,0.0056038913
70,0.0076870406
71,0.012730683
72,-0.008842268
73,-0.011622975
74,1.42090885e-05
75,0.008816674
76,0.006556734
77,-0.0029389975
78,0.006554675
79,0.0015839138
80,0.001736686
81,-0.009532222
82,-0.00868952
83,0.013228176
84,0.007071368
85,0.002663064
86,-0.0066473074
87,0.007309867
88,0.0007561625
89,-0.004003483
90,0.012766267
91,0.0003059344
92,-0.004686151
93,0.012400589
94,0.00024927565
95,0.00030000386
96,-0.006900462
97,-1.8579827e-05
98,0.0032681176
99,-0.011190647
100,-0.014191762
101,-0.003517759
102,0.013911109
103,0.0011127522
104,0.014336458
105,0.008761683
106,0.007419199
107,0.0062944307
108,-0.011837823
109,-0.005813593
110,-0.008286396
111,0.0047831098
112,0.012066394
113,-0.010159206
114,0.00075282616
115,-0.0125873955
116,0.015585595
117,-0.008245139
118,-0.004996631
119,0.004117001
120,-0.009266445
121,-0.019169295
122,0.008961237
123,-0.008168226
124,0.0071667386
125,0.012905394
126,0.0029448085
127,-0.003296521
128,0.0025388757
129,0.008153911
130,-0.0011911446
131,-0.0069577014
132,-0.015342928
133,0.0044314186
134,-9.676588e-05
135,0.012485968
136,-0.004900706
137,-0.012585944
138,-8.75406e-05
139,-0.007880302
140,-0.0111425165
141,0.006375317
142,-0.003312728
143,0.010774378
144,0.018073564
145,-0.006098695
146,0.0033927502
147,0.015148193
148,-0.004673525
149,-0.010947795
150,0.005276978
151,0.012876898
152,0.009467363
153,0.0070412285
154,-0.0047219354
155,-0.00029983444
156,0.0049869413
157,0.0032091094
158,0.001239235
159,-0.0014714275
160,-0.006096966
161,-0.007857079
162,0.019084444
163,-0.007965843
164,-0.0029437249
165,0.00017504988
166,0.0052820365
167,-0.0059290375
168,-0.007036608
169,0.008402729
170,-0.01625586
171,0.006541037
172,0.0077022174
173,0.0016760579
174,0.010512445
175,-0.0075001656
176,0.0011572661
177,0.008649405
178,0.00446139
179,-0.0015803364
180,0.010783861
181,0.010282293
182,0.019614236
183,-0.003536668
184,-0.009788105
185,0.0057557574
186,0.012062597
187,0.014417098
188,-0.0059510977
189,-0.011995022
190,0.0064692576
191,-0.005090685
192,-0.009645131
193,0.0012566292
194,0.015422931
195,0.006215069
196,-0.009031617
197,9.483706e-05
198,-0.010579632
199,-0.0062578726
200,-0.0003934439
201,0.007331557
202,-0.008355678
203,-0.009608995
204,0.004470097
205,0.0050275535
206,0.00022485526
207,-0.01087483
208,0.011348986
209,0.010438852
210,0.00443007
211,-0.011841284
212,-0.01569113
213,-0.0048739016
214,0.0056210356
215,-0.014889022
216,-0.0028412882
217,-0.007549475
218,-0.0062568714
219,0.003803401
220,-0.009890263
221,0.0041526523
222,-0.015212377
223,0.014846389
224,-0.00038672777
225,-0.0020210755
226,0.001831384
227,-0.0011701498
228,-0.014447103
229,0.00050415925
230,-0.0058496175
231,-8.898005e-05
232,-0.0018270366
233,0.0012632604
234,0.006507002
235,-0.012780278
236,0.00036750108
